DATA;ANO;MÊS;MUNICÍPIO;PONTO;COLIFORMES;CLASSE
02/09/10;2010;SET;NF;NF04;2;E
09/09/10;2010;SET;NF;NF04;240;E
16/09/10;2010;SET;NF;NF04;23;E
23/09/10;2010;SET;NF;NF04;23;E
30/09/10;2010;SET;NF;NF04;17;E
07/10/10;2010;OUT;NF;NF04;11;E
14/10/10;2010;OUT;NF;NF04;23;E
21/10/10;2010;OUT;NF;NF04;23;E
28/10/10;2010;OUT;NF;NF04;22;E
04/11/10;2010;NOV;NF;NF04;23;E
11/11/10;2010;NOV;NF;NF04;2;E
18/11/10;2010;NOV;NF;NF04;2;E
25/11/10;2010;NOV;NF;NF04;5;E
02/12/10;2010;DEZ;NF;NF04;2;E
09/12/10;2010;DEZ;NF;NF04;350;E
30/12/10;2010;DEZ;NF;NF04;350;B
07/01/10;2010;JAN;PA;PA01;3500;I
14/01/10;2010;JAN;PA;PA01;170;I
21/01/10;2010;JAN;PA;PA01;350;I
28/01/10;2010;JAN;PA;PA01;350;B
04/02/10;2010;FEV;PA;PA01;350;B
11/02/10;2010;FEV;PA;PA01;2500;I
18/02/10;2010;FEV;PA;PA01;5400;I
25/02/10;2010;FEV;PA;PA01;540;I
04/03/10;2010;MAR;PA;PA01;1600;I
11/03/10;2010;MAR;PA;PA01;2400;I
18/03/10;2010;MAR;PA;PA01;1600;I
25/03/10;2010;MAR;PA;PA01;920;I
31/03/10;2010;MAR;PA;PA01;2400;I
15/04/10;2010;ABR;PA;PA01;330;I
22/04/10;2010;ABR;PA;PA01;220;I
29/04/10;2010;ABR;PA;PA01;790;I
06/05/10;2010;MAI;PA;PA01;35000;I
13/05/10;2010;MAI;PA;PA01;920;S
20/05/10;2010;MAI;PA;PA01;350;S
27/05/10;2010;MAI;PA;PA01;540;S
02/06/10;2010;JUN;PA;PA01;920;S
10/06/10;2010;JUN;PA;PA01;1700;S
17/06/10;2010;JUN;PA;PA01;790;S
24/06/10;2010;JUN;PA;PA01;16000;I
01/07/10;2010;JUL;PA;PA01;350;I
08/07/10;2010;JUL;PA;PA01;49;I
15/07/10;2010;JUL;PA;PA01;3500;I
29/07/10;2010;JUL;PA;PA01;540;I
05/08/10;2010;AGO;PA;PA01;130;I
12/08/10;2010;AGO;PA;PA01;130;I
19/08/10;2010;AGO;PA;PA01;130;S
26/08/10;2010;AGO;PA;PA01;1600;S
02/09/10;2010;SET;PA;PA01;70;E
09/09/10;2010;SET;PA;PA01;350;B
16/09/10;2010;SET;PA;PA01;33;B
23/09/10;2010;SET;PA;PA01;79;B
30/09/10;2010;SET;PA;PA01;170;E
07/10/10;2010;OUT;PA;PA01;220;E
14/10/10;2010;OUT;PA;PA01;33;E
21/10/10;2010;OUT;PA;PA01;170;E
28/10/10;2010;OUT;PA;PA01;130;E
04/11/10;2010;NOV;PA;PA01;350;E
11/11/10;2010;NOV;PA;PA01;33;E
18/11/10;2010;NOV;PA;PA01;23;E
25/11/10;2010;NOV;PA;PA01;49;E
02/12/10;2010;DEZ;PA;PA01;49;E
09/12/10;2010;DEZ;PA;PA01;70;E
30/12/10;2010;DEZ;PA;PA01;49;E
07/01/10;2010;JAN;PA;PA02;490;S
14/01/10;2010;JAN;PA;PA02;130;B
21/01/10;2010;JAN;PA;PA02;700;S
28/01/10;2010;JAN;PA;PA02;3500;I
04/02/10;2010;FEV;PA;PA02;70;S
11/02/10;2010;FEV;PA;PA02;2200;I
18/02/10;2010;FEV;PA;PA02;2400;I
25/02/10;2010;FEV;PA;PA02;170;I
04/03/10;2010;MAR;PA;PA02;170;I
11/03/10;2010;MAR;PA;PA02;170;I
18/03/10;2010;MAR;PA;PA02;220;E
25/03/10;2010;MAR;PA;PA02;49;E
31/03/10;2010;MAR;PA;PA02;2600;I
15/04/10;2010;ABR;PA;PA02;220;I
22/04/10;2010;ABR;PA;PA02;350;I
29/04/10;2010;ABR;PA;PA02;170;I
06/05/10;2010;MAI;PA;PA02;3000;I
13/05/10;2010;MAI;PA;PA02;70;B
20/05/10;2010;MAI;PA;PA02;140;B
27/05/10;2010;MAI;PA;PA02;79;E
02/06/10;2010;JUN;PA;PA02;130;E
10/06/10;2010;JUN;PA;PA02;350;E
17/06/10;2010;JUN;PA;PA02;94;E
24/06/10;2010;JUN;PA;PA02;3500;I
01/07/10;2010;JUL;PA;PA02;350;B
08/07/10;2010;JUL;PA;PA02;49;B
15/07/10;2010;JUL;PA;PA02;170;B
29/07/10;2010;JUL;PA;PA02;350;B
05/08/10;2010;AGO;PA;PA02;17;B
12/08/10;2010;AGO;PA;PA02;70;B
19/08/10;2010;AGO;PA;PA02;350;B
26/08/10;2010;AGO;PA;PA02;170;B
02/09/10;2010;SET;PA;PA02;79;E
09/09/10;2010;SET;PA;PA02;23;E
16/09/10;2010;SET;PA;PA02;79;E
23/09/10;2010;SET;PA;PA02;17;E
30/09/10;2010;SET;PA;PA02;79;E
07/10/10;2010;OUT;PA;PA02;5;E
14/10/10;2010;OUT;PA;PA02;5;E
21/10/10;2010;OUT;PA;PA02;33;E
28/10/10;2010;OUT;PA;PA02;13;E
04/11/10;2010;NOV;PA;PA02;8;E
11/11/10;2010;NOV;PA;PA02;70;E
18/11/10;2010;NOV;PA;PA02;8;E
25/11/10;2010;NOV;PA;PA02;5;E
02/12/10;2010;DEZ;PA;PA02;8;E
09/12/10;2010;DEZ;PA;PA02;33;E
30/12/10;2010;DEZ;PA;PA02;17;E
07/01/10;2010;JAN;PA;PA03;350;B
14/01/10;2010;JAN;PA;PA03;130;B
21/01/10;2010;JAN;PA;PA03;49;B
28/01/10;2010;JAN;PA;PA03;920;B
04/02/10;2010;FEV;PA;PA03;79;B
11/02/10;2010;FEV;PA;PA03;350;B
18/02/10;2010;FEV;PA;PA03;79;B
25/02/10;2010;FEV;PA;PA03;170;B
04/03/10;2010;MAR;PA;PA03;920;B
11/03/10;2010;MAR;PA;PA03;240;B
18/03/10;2010;MAR;PA;PA03;33;E
25/03/10;2010;MAR;PA;PA03;2;E
31/03/10;2010;MAR;PA;PA03;920;S
15/04/10;2010;ABR;PA;PA03;140;S
22/04/10;2010;ABR;PA;PA03;49;S
29/04/10;2010;ABR;PA;PA03;920;S
06/05/10;2010;MAI;PA;PA03;920;S
13/05/10;2010;MAI;PA;PA03;240;S
20/05/10;2010;MAI;PA;PA03;79;S
27/05/10;2010;MAI;PA;PA03;140;S
02/06/10;2010;JUN;PA;PA03;130;E
10/06/10;2010;JUN;PA;PA03;22;E
17/06/10;2010;JUN;PA;PA03;79;E
